,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4909899,5049109,0.03986950568579661,0.613918402986142,AWAR,106,0,AWAR,"['ADFR', 'AWBR']"
1,5031206,5031207,0.024556800436939807,0.6342957084834617,AWAR,106,0,AWAR,"['ADLR', 'ASER']"
2,4909672,5031204,0.0,0.09634029561096741,AWAR,106,0,AWAR,"['ASER', 'AWBR']"
3,4909752,5031203,0.0,0.2503193200211292,AWAR,106,0,AWAR,['AIZR']
4,4909815,5031202,0.0,0.37868187133226605,AWAR,106,0,AWAR,"['AWBR', 'AFDR', 'AIYR', 'ASER']"
5,4909834,5031201,0.0,0.41339272266158955,AWAR,106,0,AWAR,"['ASER', 'AFDR']"
6,4909845,5031200,0.0,0.43224662084217574,AWAR,106,0,AWAR,"['ASER', 'AIZR', 'AFDR']"
7,4909876,5031199,0.0,0.5374239956890575,AWAR,106,0,AWAR,"['AIZR', 'AWBR']"
8,4909889,5031198,0.019043937494001077,0.613918402986142,AWAR,106,0,AWAR,"['ADLR', 'AWBR']"
9,4909926,5031196,0.003793147030346835,0.778436489208511,AWAR,106,0,AWAR,"['AIZR', 'ASER']"
10,4909951,5031195,0.0016470909124038946,0.9460049991490332,AWAR,106,0,AWAR,['AIAR']
11,4909965,5031194,0.0,0.990936528620632,AWAR,106,0,AWAR,"['AWAL', 'AWBR']"
12,4909965,5030654,0.0,0.990936528620632,AWAR,106,1,ASHR,"['AWBR', 'AWAR']"
