,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4936069,5037513,0.0,0.06832776491738768,BWMDL04,106,1,URBL,"['BWMDL04', 'CEPDL', 'BWMDL06']"
1,5037417,5037416,0.24330716113225848,0.570792536800002,BWMDL04,106,1,SMDDR,"['BWMDL04', 'RIMR', 'BWMDL06']"
2,4936146,5037309,0.0,0.6890539938388851,BWMDL04,106,1,SMBDR,['BWMDL04']
3,4936140,5037307,0.0,0.6589911860920252,BWMDL04,106,1,SMBDR,"['BWMDL02', 'BWMDL04']"
4,4936133,5037306,0.0,0.5754368848381702,BWMDL04,106,1,SMBDR,"['BWMDL02', 'GLRDL', 'BWMDL04']"
5,4936121,5036922,0.0,0.4745729010458199,BWMDL04,106,1,RMDR,"['BWMDL04', 'BWMVL02', 'RMDL', 'RMDDR']"
6,4936170,5036909,0.0,0.8457489122689683,BWMDL04,106,1,RMDDR,"['BWMDL04', 'RMDVL', 'BWMDL02']"
7,4936173,5036908,0.0,0.8724123321781454,BWMDL04,106,1,RMDDR,"['BWMDL02', 'BWMDL04', 'RMDVL']"
8,4936202,5036904,0.015410565876106742,0.9134756718090726,BWMDL04,106,1,RMDDR,"['BWMDL02', 'RMDVL', 'BWMDL04']"
9,4936161,5036902,0.0,0.7805196580833821,BWMDL04,106,1,RMDDR,"['RMDVL', 'BWMDL04']"
10,4936148,5036889,0.0,0.697726205203119,BWMDL04,106,1,RMDDR,"['BWMDL04', 'BWMDL02', 'RMDVL']"
11,4936138,5036697,0.0,0.6512625237876943,BWMDL04,106,1,RIMR,"['RMDL', 'SMDDR', 'RMDR', 'BWMDL04', 'BWMDL06']"
12,4936193,5032720,0.0,0.9579901891008247,BWMDL04,106,1,IL1DL,"['RMDVL', 'BWMDL02', 'BWMDL04']"
