,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10607098,11439258,0.0,0.2828669548935522,AINL,186,1,BAGL,"['AINL', 'RIBR', 'RID']"
1,10607226,11439241,0.0,0.7757950779371939,AINL,186,1,BAGL,"['RIBR', 'AINL']"
2,10607067,11438951,0.0,0.16963607777266804,AINL,186,1,AUAL,"['AVEL', 'AINL', 'RIBL']"
3,10607118,11438883,0.0,0.3387468006723877,AINL,186,1,ASIR,"['ASEL', 'AINL']"
4,10607035,11438871,0.0,0.024904183370238992,AINL,186,1,ASIL,"['CEPshDL', 'AINL', 'AWCR']"
5,10607211,11438347,0.0,0.678195357688126,AINL,186,0,AINL,"['RIBR', 'BAGL', 'RMFR']"
6,10607076,11438346,0.0,0.20400745011237306,AINL,186,0,AINL,"['RID', 'RIBL', 'RID']"
7,10607090,11438344,0.0,0.2584048177438263,AINL,186,0,AINL,"['AUAR', 'RIBR', 'RIBL']"
8,10607095,11438341,0.0,0.2732352145891063,AINL,186,0,AINL,"['BAGL', 'RIBL', 'RIBR', 'RID']"
9,10607111,11438338,0.0,0.3192618205426596,AINL,186,0,AINL,"['AUAR', 'AFDL', 'AFDR']"
10,10607136,11438337,0.0,0.3866527140873553,AINL,186,0,AINL,"['RIBR', 'AUAR']"
11,10607145,11438336,0.0,0.41551166423791774,AINL,186,0,AINL,"['CEPDR', 'IL2DR']"
12,10607190,11438335,0.0,0.5944873931477713,AINL,186,0,AINL,"['ASEL', 'AIAR', 'AIBR']"
13,10607216,11438334,0.0,0.7133318431687706,AINL,186,0,AINL,"['RMFR', 'RIBR', 'BAGL']"
14,10607215,11438333,0.0,0.7090382832187085,AINL,186,0,AINL,"['RMFR', 'BAGL']"
15,11438324,11438326,0.003390829512540727,0.7090382832187085,AINL,186,0,AINL,"['RIBR', 'RMFR', 'BAGL']"
16,10607224,11438322,0.0,0.7671715611165885,AINL,186,0,AINL,"['CEPVR', 'RIBR', 'BAGL']"
17,10607121,11437895,0.0,0.34716479825990976,AINL,186,1,AFDR,"['ASEL', 'AUAR', 'AINL']"
18,10607196,10932410,0.02294643529859451,0.6269777530569524,AINL,186,1,ASIR,['AINL']
19,10607069,10932350,0.0,0.17546626036168667,AINL,186,0,AINL,"['AVEL', 'AUAL', 'RIBL']"
20,10607114,10932349,0.0,0.32642562511977363,AINL,186,0,AINL,"['BAGL', 'AVER', 'RIBR']"
21,10607220,10932348,0.0,0.7429751432604725,AINL,186,0,AINL,"['RIBR', 'CEPVR']"
22,10607229,10932347,0.0,0.787583599646092,AINL,186,0,AINL,"['RIBR', 'BAGL']"
